instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,total_seconds
synthetic-n20-seed202,20,202,ALNS,6,True,576.0,7.986666666666666,24.586345213968862,12,6,3,0.4,0.6014118028229405,0.0029364000001805834,0.3005833999995957,0.30824030000076164
synthetic-n20-seed202,20,202,ALNS,7,True,576.0,8.113333333333333,21.75384484908843,13,6,3,0.35,0.6008733452427623,0.01258360000065295,0.300284200000533,0.3143889000002673
synthetic-n20-seed202,20,202,ALNS,8,True,568.0,8.013333333333334,21.54708678974072,14,6,3,0.30000000000000004,0.5931561801316172,0.00486319999981788,0.3002335999990464,0.30617200000051525
synthetic-n20-seed202,20,202,ALNS,9,True,592.0,8.3,22.581344172986213,13,6,3,0.35,0.616572824022532,0.0023641999996470986,0.3001260999990336,0.3042629000010493
synthetic-n20-seed202,20,202,ALNS,10,True,560.0,8.186666666666667,28.05312402809705,12,6,3,0.4,0.6073602928541126,0.0022361000010278076,0.30020020000119985,0.305710700000418
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,1,True,584.0,8.293333333333333,24.895023774340057,13,6,3,0.35,0.616751815008162,0.0037517999990086537,0.30023830000027374,0.307333099999596
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,2,True,560.0,8.273333333333333,27.31797801744441,13,6,3,0.35,0.6091568863074616,0.0030240999985835515,0.30012170000009064,0.306134699998438
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,3,True,592.0,8.113333333333333,25.293753456407387,14,6,3,0.30000000000000004,0.6147353077339932,0.005362100000638748,0.30049549999966985,0.3110986000010598
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,4,True,576.0,8.113333333333333,27.05658046306714,12,6,3,0.4,0.6104175058150781,0.012282800000321004,0.30026379999981145,0.3142790000001696
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,5,True,568.0,8.013333333333334,21.54708678974072,14,6,3,0.30000000000000004,0.5931561801316172,0.003125400000499212,0.3001012000004266,0.30598359999930835
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,6,True,568.0,8.066666666666666,21.042585057529877,13,6,3,0.35,0.5941679960683627,0.002515599999242113,0.3002919999998994,0.30585789999895496
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,7,True,568.0,8.013333333333334,21.54708678974072,14,6,3,0.30000000000000004,0.5931561801316172,0.0040662999999767635,0.3001488000008976,0.3055492999992566
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,8,True,568.0,7.986666666666666,22.28042012307406,14,6,3,0.30000000000000004,0.5935161513339209,0.002696700001251884,0.3001470999988669,0.30563059999985853
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,9,True,576.0,8.666666666666666,25.686509653846308,13,6,3,0.35,0.6278699821603729,0.0025896999995893566,0.30013249999865366,0.3039816999989853
synthetic-n20-seed202,20,202,ALNS_NO_SCHEDULE,10,True,576.0,8.173333333333334,24.064644684111087,13,6,3,0.35,0.6071922794310679,0.003613200000472716,0.3001024999994115,0.30583669999941776
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,1,True,600.0,8.38,27.73763433868701,14,6,3,0.30000000000000004,0.6324784918448958,0.00269529999968654,0.3001098999993701,0.3046775000002526
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,2,True,592.0,8.42,26.236465210179485,12,6,3,0.4,0.6274711700218,0.0018698000003496418,0.30012250000072527,0.30346690000078524
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,3,True,624.0,8.426666666666666,27.035001885242977,14,6,3,0.30000000000000004,0.644129675266607,0.002100899999277317,0.3001005999994959,0.30735469999854104
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,4,True,624.0,8.406666666666666,27.171280447891597,15,6,3,0.25,0.6436550146522237,0.007629899999301415,0.300106800001231,0.30978809999942314
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,5,True,632.0,8.48,29.881344291839575,15,6,3,0.25,0.6549178465223086,0.0028133999985584524,0.30012560000068333,0.30523299999913434
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,6,True,608.0,8.306666666666667,29.257788974129735,13,6,3,0.35,0.6363200808391012,0.002932199999122531,0.3001031999992847,0.3067919000004622
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,7,True,600.0,8.326666666666668,22.60313187684617,12,6,3,0.4,0.6213172803105051,0.005831700000271667,0.3002265000013722,0.3077262000006158
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,8,True,584.0,8.326666666666668,30.811241847193788,13,6,3,0.35,0.6286000596797251,0.008270000000266009,0.30040179999923566,0.3150452999998379
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,9,True,600.0,8.206666666666667,25.577886624763373,14,6,3,0.30000000000000004,0.6223517560986929,0.011639300000751973,0.30015349999848695,0.31368210000073304
