instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,validation_seconds,total_seconds
synthetic-n20-seed403,20,403,B3,3,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.0024254999989352655,0.007168299998738803,0.00030979999792180024,0.010358600000472507
synthetic-n20-seed403,20,403,B3,4,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.0018662000002223067,0.007370499999524327,0.00031600000147591345,0.010015600000770064
synthetic-n20-seed403,20,403,B3,5,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.003066100001888117,0.007472000001143897,0.0003859999997075647,0.011396099998819409
synthetic-n20-seed403,20,403,B3,6,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.0016570000007050112,0.0064628000000084285,0.0003212999981769826,0.008936599999287864
synthetic-n20-seed403,20,403,B3,7,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.0020435000005818438,0.006752599998435471,0.00031379999927594326,0.009551499999361113
synthetic-n20-seed403,20,403,B3,8,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.0022069000006013084,0.006798800000979099,0.0003022999990207609,0.009739900000568014
synthetic-n20-seed403,20,403,B3,9,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.0022696999985782895,0.006745399998180801,0.0003507000001263805,0.009814600001845974
synthetic-n20-seed403,20,403,B3,10,True,656.0,12.02,27.116930678097173,15,4,3,0.25,0.6745280470572061,0.004398900000524009,0.007449900000210619,0.0003068000005441718,0.0126057999987097
synthetic-n20-seed403,20,403,LNS,1,True,608.0,9.2,19.845012602232963,12,5,3,0.4,0.5614107566062747,0.003064000000449596,0.20212500000343425,0.00033030000122380443,0.2059986000022036
synthetic-n20-seed403,20,403,LNS,2,True,632.0,9.333333333333332,22.957942698324317,16,5,3,0.19999999999999996,0.5802939213875905,0.0020503000014286954,0.19698780000180705,0.0003390000019862782,0.1998574000026565
synthetic-n20-seed403,20,403,LNS,3,True,584.0,9.233333333333334,21.52893633941523,13,5,3,0.35,0.5542832123666115,0.0023925000023155008,0.19421610000063083,0.00031820000003790483,0.19736600000032922
synthetic-n20-seed403,20,403,LNS,4,True,616.0,9.433333333333334,22.254180189889503,12,5,3,0.4,0.5751506364804648,0.0019836000028590206,0.2475217999999586,0.0003442999986873474,0.2503257999997004
synthetic-n20-seed403,20,403,LNS,5,True,624.0,9.399999999999999,15.944546977412312,14,5,3,0.30000000000000004,0.5685722194583752,0.0018258999989484437,0.1855500999990909,0.0003144000002066605,0.188125199998467
synthetic-n20-seed403,20,403,LNS,6,True,624.0,9.333333333333332,20.40153227247728,13,5,3,0.35,0.5730887781074956,0.0017292000011366326,0.2003141000022879,0.0003251000016462058,0.20285060000242083
synthetic-n20-seed403,20,403,LNS,7,True,600.0,9.466666666666667,19.18991200845825,16,5,3,0.19999999999999996,0.5646663466480503,0.001934100000653416,0.18881129999863333,0.000316400000883732,0.19150570000056177
synthetic-n20-seed403,20,403,LNS,8,True,624.0,9.4,21.516047999596623,12,5,3,0.4,0.5766281781370686,0.0019436000002315268,0.1991822999989381,0.0003324999997857958,0.20202450000215322
synthetic-n20-seed403,20,403,LNS,9,True,584.0,9.2,19.556135981299548,15,5,3,0.25,0.5504667476112871,0.0022004999991622753,0.18252310000025318,0.00031680000029155053,0.18550349999713944
synthetic-n20-seed403,20,403,LNS,10,True,576.0,9.5,19.40677953969458,15,5,3,0.25,0.5554175528335664,0.0018204999978479464,0.1796628000010969,0.000436700000136625,0.18245929999829968
synthetic-n20-seed403,20,403,ALNS,1,True,600.0,9.200000000000001,18.946353620221586,12,5,3,0.4,0.5566025934358322,0.0016840999996929895,0.2414191000025312,0.00036080000063520856,0.24394430000029388
synthetic-n20-seed403,20,403,ALNS,2,True,624.0,9.753333333333334,22.171451750563488,9,5,3,0.55,0.5877936934893437,0.0018641000024217647,0.18343970000205445,0.00031459999809158035,0.1860594999998284
synthetic-n20-seed403,20,403,ALNS,3,True,640.0,9.406666666666666,24.259606087800965,15,5,3,0.25,0.5878054840290162,0.001815899999201065,0.1841822000023967,0.00038700000004610047,0.18689699999958975
synthetic-n20-seed403,20,403,ALNS,4,True,648.0,9.013333333333334,18.02752460390552,11,6,3,0.44999999999999996,0.5709285588064953,0.0018421999993734062,0.22667940000246745,0.0003673999999591615,0.22939649999898393
synthetic-n20-seed403,20,403,ALNS,5,True,608.0,9.233333333333334,21.332819462956984,13,5,3,0.35,0.5645259583520681,0.002415799997834256,0.18232569999963744,0.0004163999983575195,0.18571929999961867
synthetic-n20-seed403,20,403,ALNS,6,True,600.0,9.093333333333334,18.925012602232968,12,5,3,0.4,0.5534871013141984,0.002010200001677731,0.20591950000016368,0.0003385999989404809,0.2087429000021075
